"Early Release, Subject to Revision",...2,...3,...4,...5
"Communities Participating in Power Cost Equalization Program by AEA Energy Regions, 2015",NA,NA,NA,NA
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program
Aleutians,12,0,0,1
Bering Straits,15,1,0,0.9375
Bristol Bay,27,0,0,1
Copper River/Chugach,8,0,15,1
Kodiak,5,0,5,1
Lower Yukon-Kuskokwim,47,1,0,0.97916666666666663
North Slope,7,0,2,1
Northwest Arctic,12,0,0,1
Railbelt,0,0,95,NA
Southeast,23,0,6,1
Yukon-Koyukuk/Upper Tanana,41,1,1,0.97619047619047616
Total,197,3,124,NA
"Some utilities, both in urban and rural Alaska, serve multiple communities.",NA,NA,NA,NA
